simNo_1-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_2,cell_4,cell_6,cell_8,cell_9	mut0	1.655740246211132568410927665E-137	1.254252336656264428395303783E-136	0.1320101384562856407426245051	
simNo_3-s_7-m_8-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_14,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9	mut0	5.890220782038766308822318710E-50	5.897889943482621133891188193E-50	0.9986996770849667138746079136	
simNo_3-s_7-m_8-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_14,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9	mut1	5.890910645588530109093405576E-50	5.897889943482621133891188193E-50	0.9988166449423486787776326155	
simNo_4-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_14,cell_2,cell_3,cell_4,cell_5,cell_6,cell_8,cell_9	mut0	7.381775101797209715916666545E-82	1.880082251748571359538123072E-79	0.003926304338510608459160093088	
simNo_4-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_14,cell_2,cell_3,cell_4,cell_5,cell_6,cell_8,cell_9	mut1	6.979764469351896054764203206E-84	1.880082251748571359538123072E-79	0.00003712478250810762620884440006	
simNo_4-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_14,cell_2,cell_3,cell_4,cell_5,cell_6,cell_8,cell_9	mut2	3.181692909052425186828379831E-80	1.880082251748571361272256493E-79	0.1692315804850181547237597459	
simNo_4-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_14,cell_2,cell_3,cell_4,cell_5,cell_6,cell_8,cell_9	mut3	6.985913253365315127949250791E-84	1.880082251748571361272256493E-79	0.00003715748737518299159433694961	
simNo_4-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_14,cell_2,cell_3,cell_4,cell_5,cell_6,cell_8,cell_9	mut4	3.520979837126157073558328647E-84	1.880082251748571361272256493E-79	0.00001872779679639796694941164900	
simNo_5-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_14,cell_2,cell_5,cell_6,cell_7,cell_8	mut0	1.072426441974056270338984269E-79	1.649891422323467041427948294E-79	0.6499981922833484967034242085	
simNo_5-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_14,cell_2,cell_5,cell_6,cell_7,cell_8	mut1	1.081805800097408903329218954E-79	1.649891422323467041427948294E-79	0.6556830258405434965926220683	
simNo_5-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_14,cell_2,cell_5,cell_6,cell_7,cell_8	mut2	1.146852851577361012637435324E-79	1.649891422323467041427948294E-79	0.6951080756346380107061520649	
simNo_5-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_14,cell_2,cell_5,cell_6,cell_7,cell_8	mut3	1.049294141161032397585068061E-82	1.649891422323467041427948294E-79	0.0006359776934189761334977478954	
simNo_8-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9	mut0	2.201611836052376814450706046E-91	4.537884171919426469125372223E-89	0.004851626336511676131191508352	
simNo_8-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9	mut1	3.252024056908622129356263240E-96	4.537884171919426469125372223E-89	7.166388417386789684673009717E-8	
simNo_8-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9	mut2	3.950198646276886396764998127E-91	4.537884171919426469125372223E-89	0.008704934935802995923506689700	
simNo_6-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_2,cell_3,cell_6,cell_7,cell_8,cell_9	mut0	4.540579263574271274532189511E-82	3.187541561835482251821961223E-81	0.1424476881474658871727701548	
