simNo_1-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_2,cell_4,cell_6,cell_8,cell_9	mut0	3.780020373082225345036009788E-9	6.002305143291564326889447443E-9	0.6297614471178526307398978457	
simNo_3-s_7-m_8-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_14,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9	mut0	0.0009350635556499469672657261999	0.001043536284251432141136699494	0.8960527484875173790718763701	
simNo_3-s_7-m_8-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_14,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9	mut1	0.0009451164295317223742529628804	0.001043536284251432141136699494	0.9056862169480670875529547367	
simNo_4-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_14,cell_2,cell_3,cell_4,cell_5,cell_6,cell_8,cell_9	mut0	1.914567951003730295289302501E-8	2.212742883619533601434210189E-8	0.8652464618356117603475207053	
simNo_4-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_14,cell_2,cell_3,cell_4,cell_5,cell_6,cell_8,cell_9	mut1	1.964701727202018143315788116E-9	2.212742883619533601434210189E-8	0.08879033084893362230201958409	
simNo_4-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_14,cell_2,cell_3,cell_4,cell_5,cell_6,cell_8,cell_9	mut2	1.910116591712969273638996910E-8	2.212742883619533601434210189E-8	0.8632347688713213809021294848	
simNo_4-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_14,cell_2,cell_3,cell_4,cell_5,cell_6,cell_8,cell_9	mut3	1.959491321095781131277282605E-9	2.212742883619533601434210189E-8	0.08855485811756439980092259317	
simNo_4-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_14,cell_2,cell_3,cell_4,cell_5,cell_6,cell_8,cell_9	mut4	1.942664443842395905478153522E-9	2.212742883619533601434210189E-8	0.08779440477352921928828455773	
simNo_5-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_14,cell_2,cell_5,cell_6,cell_7,cell_8	mut0	0.00003634311278269468301527053549	0.00004060885831283931615333935195	0.8949552952884683545992898334	
simNo_5-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_14,cell_2,cell_5,cell_6,cell_7,cell_8	mut1	0.00003642418462465504576352055063	0.00004060885831283931615333935195	0.8969517031001780040967365166	
simNo_5-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_14,cell_2,cell_5,cell_6,cell_7,cell_8	mut2	0.00003646735835483276807361820439	0.00004060885831283931615333935195	0.8980148635033866817846572776	
simNo_5-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_14,cell_2,cell_5,cell_6,cell_7,cell_8	mut3	0.00001094945861903881400068207727	0.00004060885831283931615333935195	0.2696322692622195697258032965	
simNo_8-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9	mut0	6.084522699909455968248792482E-8	7.109129453485573971848398210E-8	0.8558745117415525535203161364	
simNo_8-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9	mut1	3.242406707323341359976240828E-11	7.109129453485573971848398210E-8	0.0004560905422440442461100744022	
